## 0: accession, 1: authors, 2: title, 3: journal, 4: puburl (the paper), 5: url (of the sequence, not the paper)
## MASS DATA
Massachusetts_outbreak_1	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_2	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_3	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_4	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_5	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_6	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_7	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_8	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_9	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_10	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_11	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_12	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_13	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_14	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_15	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_16	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_17	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_18	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_19	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_20	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_21	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_22	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_23	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_24	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_25	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_26	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_27	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_28	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_29	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_30	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_31	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_32	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_33	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_34	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_35	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_36	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_37	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_38	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_39	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_40	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_41	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_42	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_43	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_44	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_45	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_46	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_47	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_48	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_49	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_50	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_51	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_52	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_53	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_54	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_55	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_56	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_57	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_58	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_59	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_60	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_61	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_62	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_63	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_64	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_65	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_66	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_67	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_68	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_69	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_70	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_71	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_72	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_73	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_74	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_75	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_76	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_77	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_78	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_79	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_80	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_81	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_82	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_83	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_84	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_85	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_86	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_87	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_88	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_89	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_90	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_91	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_92	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_93	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_94	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_95	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_124	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_97	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_98	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_99	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_100	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_101	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_102	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_103	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_104	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_105	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_106	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_107	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_108	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_109	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_110	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_111	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_112	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_113	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_114	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_115	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_116	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_117	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_118	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_119	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_120	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_121	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_122	Wohl et al	unpublished	unpublished	?	?
Massachusetts_outbreak_123	Wohl et al	unpublished	unpublished	?	?
## BC
BCCDC90	Gardy et al	unpublished	unpublished	?	?
BCCDC70	Gardy et al	unpublished	unpublished	?	?
BCCDC99	Gardy et al	unpublished	unpublished	?	?
BCCDC128	Gardy et al	unpublished	unpublished	?	?
BCCDC102	Gardy et al	unpublished	unpublished	?	?
BCCDC83	Gardy et al	unpublished	unpublished	?	?
BCCDC88	Gardy et al	unpublished	unpublished	?	?
BCCDC112	Gardy et al	unpublished	unpublished	?	?
BCCDC129	Gardy et al	unpublished	unpublished	?	?
BCCDC131	Gardy et al	unpublished	unpublished	?	?
BCCDC52	Gardy et al	unpublished	unpublished	?	?
BCCDC54	Gardy et al	unpublished	unpublished	?	?
BCCDC56	Gardy et al	unpublished	unpublished	?	?
BCCDC59	Gardy et al	unpublished	unpublished	?	?
BCCDC64	Gardy et al	unpublished	unpublished	?	?
BCCDC65	Gardy et al	unpublished	unpublished	?	?
BCCDC66	Gardy et al	unpublished	unpublished	?	?
BCCDC127	Gardy et al	unpublished	unpublished	?	?
BCCDC2	Gardy et al	unpublished	unpublished	?	?
BCCDC13	Gardy et al	unpublished	unpublished	?	?
BCCDC16	Gardy et al	unpublished	unpublished	?	?
BCCDC17	Gardy et al	unpublished	unpublished	?	?
BCCDC24	Gardy et al	unpublished	unpublished	?	?
BCCDC35	Gardy et al	unpublished	unpublished	?	?
BCCDC40	Gardy et al	unpublished	unpublished	?	?
BCCDC41	Gardy et al	unpublished	unpublished	?	?
BCCDC44	Gardy et al	unpublished	unpublished	?	?
BCCDC45	Gardy et al	unpublished	unpublished	?	?
BCCDC55	Gardy et al	unpublished	unpublished	?	?
BCCDC60	Gardy et al	unpublished	unpublished	?	?
BCCDC61	Gardy et al	unpublished	unpublished	?	?
BCCDC63	Gardy et al	unpublished	unpublished	?	?
BCCDC72	Gardy et al	unpublished	unpublished	?	?
BCCDC116	Gardy et al	unpublished	unpublished	?	?
BCCDC43	Gardy et al	unpublished	unpublished	?	?
BCCDC57	Gardy et al	unpublished	unpublished	?	?
BCCDC81	Gardy et al	unpublished	unpublished	?	?
BCCDC84	Gardy et al	unpublished	unpublished	?	?
BCCDC120	Gardy et al	unpublished	unpublished	?	?
BCCDC71	Gardy et al	unpublished	unpublished	?	?
BCCDC106	Gardy et al	unpublished	unpublished	?	?
BCCDC68	Gardy et al	unpublished	unpublished	?	?
BCCDC1	Gardy et al	unpublished	unpublished	?	?
BCCDC95	Gardy et al	unpublished	unpublished	?	?
BCCDC125	Gardy et al	unpublished	unpublished	?	?
BCCDC126	Gardy et al	unpublished	unpublished	?	?
BCCDC76	Gardy et al	unpublished	unpublished	?	?
BCCDC79	Gardy et al	unpublished	unpublished	?	?
BCCDC94	Gardy et al	unpublished	unpublished	?	?
BCCDC109	Gardy et al	unpublished	unpublished	?	?
BCCDC117	Gardy et al	unpublished	unpublished	?	?
BCCDC118	Gardy et al	unpublished	unpublished	?	?
